Cube Title,Product Id,CANSIM Id
34100133,027-0040,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410013301
Dimension name,Dimension Notes,Dimension Definitions
Member Name,Classification Code,Member ID
"Carbonear, Newfoundland and Labrador",[1001370],1
"Corner Brook, Newfoundland and Labrador",[015],2
"Gander, Newfoundland and Labrador",[1006009],3
"Grand Falls-Windsor, Newfoundland and Labrador",[010],4
"Labrador City, Newfoundland and Labrador",[1010032],5
"St. John's, Newfoundland and Labrador",[001],6
"Charlottetown, Prince Edward Island",[105],7
"Summerside, Prince Edward Island",[110],8
"Cape Breton, Nova Scotia",[225],9
"Halifax, Nova Scotia",[205],10
"Kentville, Nova Scotia",[210],11
"Kentville, Nova Scotia",[210],12
"New Glasgow, Nova Scotia",[220],13
"Truro, Nova Scotia",[215],14
"Bathurst, New Brunswick",[328],15
"Campbellton, New Brunswick part, New Brunswick/Quebec",[13330],16
"Edmundston, New Brunswick",[335],17
"Fredericton, New Brunswick",[320],18
"Miramichi, New Brunswick",[329],19
"Moncton, New Brunswick",[305],20
"Oromocto, New Brunswick",[1303012],21
"Saint John, New Brunswick",[310],22
"Alma, Quebec",[410],23
"Amos, Quebec",[481],24
"Asbestos, Quebec",[2440043],25
"Baie-Comeau, Quebec",[406],26
"Bécancour, Quebec",[2438010],27
"Campbellton, Quebec part, New-Brunswick/Quebec",[24330],28
"Chibougamau, Quebec",[2499025],29
"Saguenay, Quebec",[408],30
"Cowansville, Quebec",[437],31
"Campbell River, British Columbia",[944],161
"Chilliwack, British Columbia",[930],162
"Courtenay, British Columbia",[943],163
"Cranbrook, British Columbia",[905],164
"Dawson Creek, British Columbia",[975],165
"Duncan, British Columbia",[937],166
"Fort St. John, British Columbia",[977],167
"Kamloops, British Columbia",[925],168
"Kelowna, British Columbia",[915],169
"Kitimat, British Columbia",[960],170
"Mission, British Columbia",[5909056],171
"Nanaimo, British Columbia",[938],172
"North Cowichan, British Columbia",[5919008],173
"Penticton, British Columbia",[913],174
"Port Alberni, British Columbia",[940],175
"Powell River, British Columbia",[945],176
"Prince George, British Columbia",[970],177
"Prince Rupert, British Columbia",[955],178
"Quesnel, British Columbia",[952],179
"Salmon Arm, British Columbia",[920],180
"Squamish, British Columbia",[934],181
"Terrace, British Columbia",[965],182
"Trail, British Columbia",[5905014],183
"Vancouver, British Columbia",[933],184
"Vernon, British Columbia",[918],185
"Victoria, British Columbia",[935],186
"Williams Lake, British Columbia",[950],187
"Yellowknife, Northwest Territories",[995],188
"Prince Edward, Ontario",[3513020],189
"Saint-Félicien, Quebec",[2491042],190
"Parksville, British Columbia",[939],191
"Bay Roberts, Newfoundland and Labrador",[005],192
"Canmore, Alberta",[828],193
"Centre Wellington, Ontario",[531],194
"Meaford, Ontario",[3542047],195
"Abbotsford-Mission, British Columbia",[932],160
"West Hants, Nova Scotia",[1208001],212
"Yarmouth, Nova Scotia",[1202004],213
"Les Îles-de-la-Madeleine, Quebec",[2401023],214
"Mont-Laurier, Quebec",[2479088],215
"Prévost, Quebec",[2475040],216
"Rawdon, Quebec",[2462037],217
"Sainte-Adèle, Quebec",[2477022],218
"Sainte- Sophie, Quebec",[2475028],219
"Brighton, Ontario",[3514004],220
"Brock, Ontario",[3518039],221
"Erin, Ontario",[3523017],222
"Essex, Ontario",[3537016],223
"Kincardine, Ontario",[3541024],224
"Kings Subdivision, Ontario",[3532038],225
"North Grenville, Ontario",[3507065],226
"St. Andrews, Ontario",[3501011],227
"Scugog, Ontario",[3518020],228
"The Nation, Ontario",[3502025],229
"Trent Hills, Ontario",[3514045],230
"Wasaga Beach, Ontario",[3543064],231
"West Grey, Ontario",[3542004],232
"Steinbach, Manitoba",[605],233
"Bonnyvill No. 87, Alberta",[4812004],234
"Clearwater County, Alberta",[4809002],235
"Foothills No. 13, Alberta",[4806001],236
"High River, Alberta",[821],237
"Lacombe, Alberta",[832],238
"Lacombe County, Alberta",[4808022],239
"Mackenzie No. 23, Alberta",[4817095],240
"Mountain View County, Alberta",[4806028],241
"Red Deer County, Alberta",[4808001],242
"Strathmore, Alberta",[826],243
"Sylvan Lake, Alberta",[831],244
"Wetaskiwin County No. 10, Alberta",[4811001],245
"Yellowhead County, Alberta",[4814003],246
"Whitehorse, Yukon",[990],247
"Dolbeau-Mistassini, Quebec",[411],32
"Drummondville, Quebec",[447],33
"Gaspé, Quebec",[2403005],34
"Granby, Quebec",[450],35
"Hawkesbury, Quebec part, Ontario/Quebec",[24502],36
"Ottawa-Gatineau, Quebec part, Ontario/Quebec",[24505],37
"Joliette, Quebec",[456],38
"La Tuque, Quebec",[446],40
"Lachute, Quebec",[468],41
"Magog, Quebec",[2445072],42
"Matane, Quebec",[403],43
"Mirabel, Quebec",[2474005],44
"Montmagny, Quebec",[2418050],45
"Montréal, Quebec",[462],46
"Québec, Quebec",[421],48
"Rimouski, Quebec",[404],49
"Rivière-du-Loup, Quebec",[405],50
"Roberval, Quebec",[2491025],51
"Rouyn-Noranda, Quebec",[485],52
"Salaberry-de-Valleyfield, Quebec",[465],53
"Sept-Îles, Quebec",[412],54
"Shawinigan, Quebec",[444],55
"Sherbrooke, Quebec",[433],56
"Sorel-Tracy, Quebec",[454],57
"Sainte-Marie, Quebec",[2426030],58
"Saint-Georges, Quebec",[428],59
"Saint-Hyacinthe, Quebec",[452],60
"Saint-Jean-sur-Richelieu, Quebec",[459],61
"Saint-Jérôme, Quebec",[2475017],62
"Thetford Mines, Quebec",[430],63
"Trois-Rivières, Quebec",[442],64
"Val-d'Or, Quebec",[480],65
"Victoriaville, Quebec",[440],66
"Barrie, Ontario",[568],67
"Belleville, Ontario",[522],68
"Bracebridge, Ontario",[3544018],69
"Brantford, Ontario",[543],70
"Brockville, Ontario",[512],71
"Chatham-Kent, Ontario",[556],72
"Cobourg, Ontario",[527],73
"Collingwood, Ontario",[567],74
"Cornwall, Ontario",[501],75
"Elliot Lake, Ontario",[582],77
"Fort Erie, Ontario",[3526003],79
"Gravenhurst, Ontario",[3544002],80
"Guelph, Ontario",[550],81
"Temiskaming Shores, Ontario",[584],82
"Haldimand County, Ontario",[3528018],83
"Halton Hills, Ontario",[3524015],84
"Hamilton, Ontario",[537],85
"Hawkesbury, Ontario part, Ontario/Quebec",[35502],86
"Huntsville, Ontario",[3544042],87
"Kapuskasing, Ontario",[3556066],88
"Kenora, Ontario",[598],89
"Kingston, Ontario",[521],90
"Kirkland Lake, Ontario",[3554068],91
"Kitchener-Cambridge-Waterloo, Ontario",[541],92
"Leamington, Ontario",[557],93
"Kawartha Lakes, Ontario",[530],95
"London, Ontario",[555],96
"Midland, Ontario",[571],97
"Milton, Ontario",[3524009],98
"North Bay, Ontario",[575],101
"Orangeville, Ontario",[3522014],102
"Orillia, Ontario",[569],103
"Oshawa, Ontario",[532],104
"Ottawa-Gatineau, Ontario/Quebec",[505],105
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",[35505],106
"Owen Sound, Ontario",[566],107
"Pembroke, Ontario",[515],108
"Petawawa, Ontario",[516],109
"Peterborough, Ontario",[529],110
"Port Hope, Ontario",[528],111
"Sarnia, Ontario",[562],112
"Sault Ste. Marie, Ontario",[590],113
"Norfolk, Ontario",[547],114
"Smiths Falls, Ontario",[3509004],115
"Smiths Falls, Ontario",[3509004],116
"St. Catharines-Niagara, Ontario",[539],117
"St. Thomas, Ontario",[3534021],118
"Stratford, Ontario",[553],119
"Greater Sudbury, Ontario",[580],121
"Thunder Bay, Ontario",[595],122
"Tillsonburg, Ontario",[546],123
"Timmins, Ontario",[586],124
"Toronto, Ontario",[535],125
"Windsor, Ontario",[559],128
"Woodstock, Ontario",[544],129
"Brandon, Manitoba",[610],130
"Portage La Prairie, Manitoba",[607],131
"Selkirk, Manitoba",[4613047],132
"Thompson, Manitoba",[640],133
"Winnipeg, Manitoba",[602],134
"Estevan, Saskatchewan",[750],135
"Lloydminster, Saskatchewan part, Saskatchewan/Alberta",[47840],136
"Moose Jaw, Saskatchewan",[715],137
"North Battleford, Saskatchewan",[735],138
"Prince Albert, Saskatchewan",[745],139
"Regina, Saskatchewan",[705],140
"Saskatoon, Saskatchewan",[725],141
"Swift Current, Saskatchewan",[720],142
"Weyburn, Saskatchewan",[4702047],143
"Yorkton, Saskatchewan",[710],144
"Brooks, Alberta",[806],145
"Calgary, Alberta",[825],146
"Camrose, Alberta",[833],147
"Edmonton, Alberta",[835],148
"Wood Buffalo, Alberta",[860],149
"Cold Lake, Alberta",[845],150
"Grande Prairie, Alberta",[850],151
"Leduc, Alberta",[4811016],152
"Lethbridge, Alberta",[810],153
"Lloydminster, Alberta part, Saskachewan/Alberta",[48840],154
"Medicine Hat, Alberta",[805],155
"Red Deer, Alberta",[830],156
"Spruce Grove, Alberta",[4811049],157
"Wetaskiwin, Alberta",[865],158
"Abbotsford-Mission, British Columbia",[932],159
"Greater Napanee, Ontario",[3511015],196
"Hanover, Manitoba",[4602041],197
"Ingersoll, Ontario",[533],198
"Lambton Shores, Ontario",[3538040],199
"Mississippi Mills, Ontario",[3509030],200
"North Perth, Ontario",[3531040],201
"Okotoks, Alberta",[820],202
"Saint-Lin--Laurentides, Quebec",[2463048],203
"Saugeen Shores, Ontario",[3541045],204
"South Huron, Ontario",[3540005],205
"Summerland, British Columbia",[5907035],206
"West Nipissing, Ontario",[3548055],207
"Chester, Nova Scotia",[1206009],208
"East Hants, Nova Scotia",[1208008],209
"Lunenburg, Nova Scotia",[1206001],210
"Queens, Nova Scotia",[1204010],211
